LOCATION_NAME,DELAY_REASON,count
RICHARDS BAY SDG.BAYFIBRE CENT,NULL,1147
RICHARDS BAY SDG.BAYFIBRE CENT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,66
RICHARDS BAY SDG.BAYFIBRE CENT,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,1
RICHARDS BAY SDG.BRIARDALE TRA,NULL,292
RICHARDS BAY SDG.CENTRAL TIMBE,NULL,338
RICHARDS BAY SDG.CENTRAL TIMBE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,7
RICHARDS BAY SDG.CITY COUNCIL,NULL,29
RICHARDS BAY SDG.FOSKOR LIMITE,NULL,125
RICHARDS BAY SDG.FOSKOR LIMITE,TPT RESPONSIBLE,9
RICHARDS BAY SDG.MONDI LIMITED,NULL,177
RICHARDS BAY SDG.NAVITRATE ROC,NULL,1298
RICHARDS BAY SDG.NAVITRATE ROC,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",209
RICHARDS BAY SDG.NAVITRATE ROC,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,148
RICHARDS BAY SDG.NAVITRATE ROC,TPT RESPONSIBLE,81
RICHARDS BAY SDG.NAVITRATE ROC,SHUNT NOT EXECUTED TFR,75
RICHARDS BAY SDG.NAVITRATE ROC,STORAGE OF WAGONS,73
RICHARDS BAY SDG.NAVITRATE ROC,SPECIAL OR NON-REVENUE EARNING WAGONS,12
RICHARDS BAY SDG.RCB IRON AND,NULL,156
RICHARDS BAY SDG.RCB IRON AND,TPT RESPONSIBLE,13
RICHARDS BAY SDG.RCB IRON AND,SPECIAL OR NON-REVENUE EARNING WAGONS,3
RICHARDS BAY SDG.SEAMUNYE PORT,NULL,20
RICHARDS BAY SDG.WOODCHIPS NCT,NULL,177
RIETGAT SDG.AFRISAM SOUTH AFRI,NULL,523
RIETGAT SDG.AFRISAM SOUTH AFRI,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,84
RIETGAT SDG.AFRISAM SOUTH AFRI,ELECTRONIC DATA INTERFACE PROB,80
RIETGAT SDG.AFRISAM SOUTH AFRI,STORAGE OF WAGONS,75
RIETGAT SDG.AFRISAM SOUTH AFRI,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,42
RIETGAT SDG.AFRISAM SOUTH AFRI,WAGONS DIRTY,42
RIETGAT SDG.AFRISAM SOUTH AFRI,WAIT FOR TARPS / SHORTAGE OF TARPS,40
RIETGAT SDG.AFRISAM SOUTH AFRI,WRONG TYPE OF WAGON SUPPLIED,4
RIETKUIL SDG.MAFUBE COLLIERY,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",500
RIETPOEL,SHUNT NOT EXECUTED TFR,2
RIETPOEL SDG.OVERBERG AGRI BEDRYWE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
RIETVLEIRUS (SDG),SPECIAL OR NON-REVENUE EARNING WAGONS,29
ROBINSON SDG.TIGER MILLING AND FEEDS,CONTAMINATION OF LOAD. WAGON TO BE FUMIGATED,115
ROBINSON SDG.TIGER MILLING AND FEEDS,FORCE MAJEURE DECLARED BY TFR IN WRITING,68
ROBINSON SDG.TIGER MILLING AND FEEDS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,32
ROBINSON SDG.TIGER MILLING AND FEEDS,NULL,8
ROCKY DRIFT SDG.SHELL SOUTH AF,SHUNT NOT EXECUTED TFR,2
ROODEPOORT SDG.AFRISAM SOUTH AFRICA LTD,NULL,14
ROOIKOP SDG.AFRICAN OXYGEN LIMITED,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),16
ROOIKOP SDG.AFRICAN OXYGEN LIMITED,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,12
ROOIKOP SDG.AFRICAN OXYGEN LIMITED,NULL,11
ROOIKOP SDG.AFRICAN OXYGEN LIMITED,SLOW LOADING/OFFLOADING PROCESS,6
ROOIKOP SDG.AFRICAN OXYGEN LIMITED,RELEASE INFORMATION NOT FURNISHED,4
ROOIKOP SDG.AFRICAN OXYGEN LIMITED,STORAGE OF WAGONS,4
ROOIPUNT SDG.KARBOCHEM,SHUNT NOT EXECUTED TFR,128
ROOIPUNT SDG.KARBOCHEM,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,43
ROOIPUNT SDG.KARBOCHEM,CONTAINER TERMINAL TRAFFIC,4
ROOIPUNT SDG.KARBOCHEM 1,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,30
ROOIWAL SDG.SENWES BEPERK,SHUNT NOT EXECUTED TFR,18
ROOIWAL SDG.SENWES BEPERK,CONTAMINATION OF LOAD. WAGON TO BE FUMIGATED,17
ROOIWAL SDG.SENWES BEPERK,STORAGE OF WAGONS,2
ROSSBURGH SDG.HULETT REFINERIE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1345
ROSSBURGH SDG.HULETT REFINERIE,FREE TIME ALLOWED INTERUPPTED BY TFR,582
ROSSBURGH SDG.HULETT REFINERIE,SHUNT NOT EXECUTED TFR,359
ROSSBURGH SDG.HULETT REFINERIE,FORCE MAJEURE DECLARED BY TFR IN WRITING,50
ROSSBURGH SDG.HULETT REFINERIE,ELECTRONIC DATA INTERFACE PROB,5
ROSSBURGH SDG.HULETT REFINERIE,SIDING FULL,5
ROSSLYN DEPT.SIDING VUKA MZANT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,173
ROSSLYN DEPT.SIDING VUKA MZANT,FREE TIME ALLOWED INTERUPPTED BY TFR,8
ROSSLYN SDG. BMW SOUTH AFRICA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,419
RUSTENBURG,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,3769
RUSTENBURG,WAGONS DIRTY,1706
RUSTENBURG,SHUNT NOT EXECUTED TFR,1685
RUSTENBURG,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",266
RUSTENBURG,FORCE MAJEURE DECLARED BY TFR IN WRITING,130
RUSTENBURG,FREE TIME ALLOWED INTERUPPTED BY TFR,15
RUSTENBURG,STORAGE OF WAGONS,3
RUSTENBURG SDG.BP SOUTHERN AFRICA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,84
RUSTENBURG SDG.BP SOUTHERN AFRICA,SHUNT NOT EXECUTED TFR,30
RUSTENBURG SDG.XSTRATA AFRICA PTY LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,740
RUSTENBURG SDG.XSTRATA AFRICA PTY LTD,WAGONS DIRTY,97
RUSTENBURG SDG.XSTRATA AFRICA PTY LTD,FORCE MAJEURE DECLARED BY TFR IN WRITING,85
RUSTENBURG SDG.XSTRATA AFRICA PTY LTD,STORAGE OF WAGONS,34
SAAIWATER SDG.GLENCORE OPERATI,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,76
SAGGIESBERG,SPECIAL OR NON-REVENUE EARNING WAGONS,97
SALDANHA HARBOUR POTTERKOM,DEDICATED TRUCKS (RING FENCED),713
SALDANHA HARBOUR POTTERKOM,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,123
SALDANHA HARBOUR POTTERKOM,SPECIAL OR NON-REVENUE EARNING WAGONS,17
SALDANHA SDG.SEAWIND INVESTMEN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,449
SALDANHA SDG.SEAWIND INVESTMEN,SHUNT NOT EXECUTED TFR,288
SALDANHA SDG.SEAWIND INVESTMEN,NULL,51
SALDANHA SDG.SEAWIND INVESTMEN,STORAGE OF WAGONS,34
SALKOR PRECAST SIDING,DEDICATED TRUCKS (RING FENCED),240
SALKOR PRECAST SIDING,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,125
SALKOR PRECAST SIDING,SPECIAL OR NON-REVENUE EARNING WAGONS,4
SALKOR SDG.NAMAKWA SANDS LTD,DEDICATED TRUCKS (RING FENCED),508
SALKOR SDG.NAMAKWA SANDS LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,59
SALKOR SDG.YSTERVARK ORE,DEDICATED TRUCKS (RING FENCED),472
SASOLBURG OPERATIONAL,WAGONS DELAYED EN ROUTE,9
SASOLBURG SDG.BUTAMOL LIMITED,NULL,81
SASOLBURG SDG.BUTAMOL LIMITED,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,63
SASOLBURG SDG.BUTAMOL LIMITED,WAGONS DELAYED EN ROUTE,31
SASOLBURG SDG.BUTAMOL LIMITED,FREE TIME ALLOWED INTERUPPTED BY TFR,2
SASOLBURG SDG.OMNIA GROUP PTY,NULL,212
SASOLBURG SDG.OMNIA GROUP PTY,FORCE MAJEURE DECLARED BY TFR IN WRITING,96
SASOLBURG SDG.OMNIA GROUP PTY,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,35
SASOLBURG SDG.OMNIA GROUP PTY,WAIT FOR TARPS / SHORTAGE OF TARPS,12
SASOLBURG SDG.OMNIA GROUP PTY,FREE TIME ALLOWED INTERUPPTED BY TFR,10
SASOLBURG SDG.SAFRIPOL PTY LTD,NULL,5
SASOLBURG SDG.SAFRIPOL PTY LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
SASOLBURG SDG.SASOL CHEMICAL I,NULL,209
SASOLBURG SDG.SASOL CHEMICAL I,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,24
SASOLBURG SDG.SASOL CHEMICAL I,SHUNT NOT EXECUTED TFR,6
SASOLBURG SDG.SENMIN INTERNATI,NULL,12
SASOLBURG SDG.SENMIN INTERNATI,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,5
SASOLBURG SDG.SENMIN INTERNATI,FREE TIME ALLOWED INTERUPPTED BY TFR,2
SASOLBURG SDG.SENMIN INTERNATI,FORCE MAJEURE DECLARED BY TFR IN WRITING,2
SASOLBURG SDG.SENMIN INTERNATI,STORAGE OF WAGONS,2
SASOLBURG SDG.SENMIN INTERNATI,WAGONS DELAYED EN ROUTE,1
SASOLBURG SDG.SENMIN INTERNATI,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,1
SENTRARAND,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",12
SENTRARAND DEPT.SIDING 8724,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",8
SENTRARAND DEPT.SIDING 8724,SPECIAL OR NON-REVENUE EARNING WAGONS,5
SENTRARAND DEPT.SIDING 8724,SLOW LOADING/OFFLOADING PROCESS,4
SENTRARAND DEPT.SIDING 8724,CONTAINER TERMINAL TRAFFIC,2
SISHEN PRO (ERTS),DEDICATED TRUCKS (RING FENCED),38835
SISHEN PRO (ERTS),LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,646
SISHEN PRO (ERTS),NULL,116
SISHEN PRO (ERTS),TPT RESPONSIBLE,5
SLURRY SDG.PRETORIA PORTLAND C,NULL,330
SLURRY SDG.PRETORIA PORTLAND C,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",39
SLURRY SDG.PRETORIA PORTLAND C,ELECTRONIC DATA INTERFACE PROB,3
SOUS,SPECIAL OR NON-REVENUE EARNING WAGONS,54
SPRINGFONTEIN,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,13
SPRINGFONTEIN,SPECIAL OR NON-REVENUE EARNING WAGONS,6
SPRINGFONTEIN,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
SPRINGS,SPECIAL OR NON-REVENUE EARNING WAGONS,12
SPRUYTSRUS,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",22
STANDERTON,SPECIAL OR NON-REVENUE EARNING WAGONS,13
STANDERTON SDG.TUTUKA ESKOM HO,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",400
STANGER,SHUNT NOT EXECUTED TFR,1
STEELPOORT,NULL,1755
STEELPOORT,SHUNT NOT EXECUTED TFR,109
STEELPOORT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,50
STEELPOORT,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,49
STEELPOORT,STORAGE OF WAGONS,13
STEELPOORT SDG.SAMANCOR LIMITE,STORAGE OF WAGONS,50
STEELPOORT SDG.SAMANCOR LIMITE,SLOW LOADING/OFFLOADING PROCESS,48
STEELPOORT SDG.SAMANCOR LIMITE,FREE TIME ALLOWED INTERUPPTED BY TFR,48
STEELPOORT SDG.SAMANCOR LIMITE,NULL,29
STEELPOORT SDG.SAMANCOR LIMITED,NULL,330
STEELPOORT SDG.SAMANCOR LIMITED,FREE TIME ALLOWED INTERUPPTED BY TFR,125
STEELPOORT SDG.SAMANCOR LIMITED,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,99
STEELPOORT SDG.SAMANCOR LIMITED,SLOW LOADING/OFFLOADING PROCESS,50
STEELPOORT SDG.SAMANCOR LIMITED,DERAILMENT IN PRIVATE SIDINGS,24
STEELPOORT SDG.SAMANCOR LIMITED,"WAGONS SHORT SUPPLY, WAIT FOR BALANCE OF WAGONS TO COMPLETE CONSIGNMENT",5
STEELPOORT SDG.SAMANCOR LIMITED,STORAGE OF WAGONS,4
STERKSTROOM,SPECIAL OR NON-REVENUE EARNING WAGONS,20
SUNBURY,NULL,65
SWARTKOPS SDG.SWARTKOPS TERMIN,SHUNT NOT EXECUTED TFR,756
SWARTKOPS SDG.SWARTKOPS TERMIN,TPT RESPONSIBLE,99
SWARTKOPS SDG.SWARTKOPS TERMIN,SPECIAL OR NON-REVENUE EARNING WAGONS,10
SWARTKOPS SDG.SWARTKOPS TERMIN,DEDICATED TRUCKS (RING FENCED),3
SWARTRUGGENS,SPECIAL OR NON-REVENUE EARNING WAGONS,6
SWELLENDAM SDG.SENTRAAL SUID K,SHUNT NOT EXECUTED TFR,10
SYFERBULT,SPECIAL OR NON-REVENUE EARNING WAGONS,17
TABLE BAY HARBOUR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,3
TABLE BAY HARBOUR,STORAGE OF WAGONS,2
TABLE BAY HARBOUR G BERTH,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",1025
TABLE BAY HARBOUR G BERTH,CONTAINER TERMINAL TRAFFIC,534
TALANA SDG.BUFFALO COAL PTY LT,Customers with THT agreement,99
TALANA SDG.BUFFALO COAL PTY LT,SHUNT NOT EXECUTED TFR,50
TALANA SDG.BUFFALO COAL PTY LT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,50
TARLTON DEPT.SIDING PETRONET,DELAY IN FUEL PIPELINE,17
TRICHARDT SDG.POLIFIN LIMITED,FREE TIME ALLOWED INTERUPPTED BY TFR,1
TRICHARDT SDG.SASOL CHEMICALS,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,10
TRICHARDT SDG.SASOL OIL,DEDICATED TRUCKS (RING FENCED),508
TRICHARDT SDG.SASOL OIL,SLOW LOADING/OFFLOADING PROCESS,33
TRICHARDT SDG.SASOL OIL,"PPP AGREEMENT ",6
TRICHARDT SDG.SASOL OIL,LINE OUT OF ORDER. THEFT OF INFRASTRUCTURE,3
TURFGROND SDG.SAMANCOR LIMITED,WAGONS DIRTY,40
TURFGROND SDG.SAMANCOR LIMITED,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,3
TUSSENIN SDG.ANGLO AMERICAN PL,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1397
TUSSENIN SDG.ANGLO AMERICAN PL,STORAGE OF WAGONS,1
TZANEEN OPERATIONAL,SPECIAL OR NON-REVENUE EARNING WAGONS,1
UITENHAGE,DEDICATED TRUCKS (RING FENCED),115
UITENHAGE,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",67
UITENHAGE DEPT.SIDING CROWN CH,SHUNT NOT EXECUTED TFR,11
UITENHAGE DEPT.SIDING CROWN CH,DEDICATED TRUCKS (RING FENCED),10
UITENHAGE DEPT.SIDING CROWN CH,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,10
UITENHAGE DEPT.SIDING CROWN CH,TPT RESPONSIBLE,5
UITENHAGE HERSTELDEPOT,STORAGE OF WAGONS,15
UITKYK,NULL,235
UITKYK,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",81
UITKYK,SPECIAL OR NON-REVENUE EARNING WAGONS,1
ULCO SDG.AFRISAM SOUTH AFRICA,STORAGE OF WAGONS,123
ULCO SDG.AFRISAM SOUTH AFRICA,NULL,3
ULUNDI,SPECIAL OR NON-REVENUE EARNING WAGONS,45
UMBOGINTWINI SDG.HEARTLANDS LEASING LTD,"PPP AGREEMENT ",17
UMKOMAAS SDG.SAPPI SAICCOR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,5114
UMKOMAAS SDG.SAPPI SAICCOR,"CUSTOMER MAINTENANCE, CUSTOMER RESPONSIBILITY.",1828
UMKOMAAS SDG.SAPPI SAICCOR,FREE TIME ALLOWED INTERUPPTED BY TFR,1526
UMKOMAAS SDG.SAPPI SAICCOR,SHUNT NOT EXECUTED TFR,727
UMKOMAAS SDG.SAPPI SAICCOR,SCHEDULED MAINTENANCE - CUSTOMER.,386
UMKOMAAS SDG.SAPPI SAICCOR,PLANT BREAKDOWN UNABLE TO OFFLOAD PRODUCT,83
UMKOMAAS SDG.SAPPI SAICCOR,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",50
UMKOMAAS SDG.SAPPI SAICCOR,STORAGE OF WAGONS,49
UMKOMAAS SDG.SAPPI SAICCOR,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,19
UMTATA,DEDICATED TRUCKS (RING FENCED),26
UMTATA,SPECIAL OR NON-REVENUE EARNING WAGONS,10
UMTENTWENI SDG.NPC CIMCOR PTY LTD,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,30
UMTENTWENI SDG.NPC CIMCOR PTY LTD,SHUNT NOT EXECUTED TFR,10
UMTENTWENI SDG.NPC CIMCOR PTY LTD 2,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,432
UMTENTWENI SDG.NPC CIMCOR PTY LTD 2,FREE TIME ALLOWED INTERUPPTED BY TFR,345
UMTENTWENI SDG.NPC CIMCOR PTY LTD 2,SHUNT NOT EXECUTED TFR,210
UMTENTWENI SDG.NPC CIMCOR PTY LTD 2,FORCE MAJEURE DECLARED BY CUSTOMER IN WRITING,155
UMTENTWENI SDG.NPC CIMCOR PTY LTD 2,SILOS FULL,32
UMTENTWENI SDG.NPC CIMCOR PTY LTD 2,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",6
UNION SDG.SCAW METALS,NULL,164
UPINGTON,SPECIAL OR NON-REVENUE EARNING WAGONS,2
VAALCON (CX),CONTAINER TERMINAL TRAFFIC,246
VANDYKSDRIF SITE EXXARO COAL C,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",100
VEREENIGING SDG.VEREENIGING REFRACTORIES,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,508
VEREENIGING SDG.VEREENIGING REFRACTORIES,NULL,60
VEREENIGING SDG.VEREENIGING REFRACTORIES,DEDICATED TRUCKS (RING FENCED),60
VEREENIGING SDG.VEREENIGING REFRACTORIES,FORCE MAJEURE DECLARED BY TFR IN WRITING,9
VICTORIA,CONTAMINATION OF LOAD. WAGON TO BE FUMIGATED,4
VICTORIA SDG.AFRISAM SOUTH AFRICA LTD,SPECIAL OR NON-REVENUE EARNING WAGONS,5
VICTORIA SDG.TIGER FOOD BRANDS,NULL,147
VICTORIA SDG.TIGER FOOD BRANDS,SHUNT NOT EXECUTED TFR,95
VICTORIA SDG.TIGER FOOD BRANDS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,64
VICTORIA SDG.TIGER FOOD BRANDS,FREE TIME ALLOWED INTERUPPTED BY TFR,44
VICTORIA SDG.TIGER FOOD BRANDS,CONTAMINATION OF LOAD. WAGON TO BE FUMIGATED,7
VICTORIA SDG.TIGER FOOD BRANDS,WAGON LABELS NOT ATTACHED OR INCOMPLETE OR COMPLETED INCORRECTLY,2
VOORBAAI LOCO/DEPOT,DEDICATED TRUCKS (RING FENCED),2
VOORBAAI LOCO/DEPOT,SHUNT NOT EXECUTED TFR,1
VOORBAAI LOCO/DEPOT,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,1
VOORBAAI TERREIN,DEDICATED TRUCKS (RING FENCED),1
VOORBAAI TERREIN,STORAGE OF WAGONS,1
VOORSLAG SDG.XSTRATA SOUTH AFR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,40
VROLIK,SPECIAL OR NON-REVENUE EARNING WAGONS,14
VROLIK SDG.SISHEN IRON ORE,DEDICATED TRUCKS (RING FENCED),37327
VROLIK SDG.SISHEN IRON ORE,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,166
VROLIK SDG.SISHEN IRON ORE,NULL,50
VROLIK SDG.SISHEN IRON ORE,TPT RESPONSIBLE,14
VRYHEID,SPECIAL OR NON-REVENUE EARNING WAGONS,10
VRYHEID DEPT.SIDING 8384,NULL,10
VRYHEID OOS DEPT.SIDING 8536,NULL,3
VRYHEID SDG.NGUNI MINING PTY L,NULL,199
VRYHEID SDG.NGUNI MINING PTY L,Customers with THT agreement,41
WALTLOO SDG.BP SOUTHERN AFRICA,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,18
WALTLOO SDG.FORD MOTOR CO,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",176
WALTLOO SDG.FORD MOTOR CO,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,76
WATERVAL BOVEN,SHUNT NOT EXECUTED TFR,196
WATERVAL BOVEN,SPECIAL OR NON-REVENUE EARNING WAGONS,1
WENTWORTH LOCOMOTIVE DEPOT,SPECIAL OR NON-REVENUE EARNING WAGONS,1
WENTWORTH LOCOMOTIVE DEPOT,CONTAINER TERMINAL TRAFFIC,1
WESSELSBRON,SPECIAL OR NON-REVENUE EARNING WAGONS,15
WESSELSBRON,STORAGE OF WAGONS,5
WESSELSBRON SDG.OMNIA GROUP PT,SHUNT NOT EXECUTED TFR,1
WESTS SDG.BULK CONNECTIONS,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2887
WESTS SDG.BULK CONNECTIONS,TPT RESPONSIBLE,860
WESTS SDG.BULK CONNECTIONS,CONTAINER TERMINAL TRAFFIC,571
WESTS SDG.BULK CONNECTIONS,"WEATHER CONDITIONS (STRONG WIND, HEAVY RAIN ETC)",476
WESTS SDG.BULK CONNECTIONS,STORAGE OF WAGONS,367
WESTS SDG.BULK CONNECTIONS,STRIKES AND OTHER LABOUR PROBLEMS,336
WESTS SDG.BULK CONNECTIONS,ELECTRONIC DATA INTERFACE PROB,323
WESTS SDG.BULK CONNECTIONS,FORCE MAJEURE DECLARED BY CUSTOMER IN WRITING,314
WESTS SDG.BULK CONNECTIONS,SHUNT NOT EXECUTED TFR,299
WESTS SDG.BULK CONNECTIONS,FORCE MAJEURE DECLARED BY TFR IN WRITING,50
WESTS SDG.BULK CONNECTIONS,BREAKDOWN OF LOADING/OFFLOADING EQUIPMENT,50
WESTS SDG.BULK CONNECTIONS,RELEASE INFORMATION NOT FURNISHED,41
WILDRAND,NULL,79
WITBANK SDG.SAMANCOR FERROMETA,FREE TIME ALLOWED INTERUPPTED BY TFR,3001
WITBANK SDG.SAMANCOR FERROMETA,NULL,224
WITBANK SDG.SAMANCOR FERROMETA,SLOW LOADING/OFFLOADING PROCESS,189
WITBANK SDG.SAMANCOR FERROMETA,WAGON DEFECT - CANNOT START LOADING / OFFLOADING,87
WITBANK SDG.SAMANCOR FERROMETA,WRONG TYPE OF WAGON SUPPLIED,49
WITBANK SDG.SAMANCOR FERROMETA,MECHANICAL/ELECTRICAL FAILURE (INCL. PRIVATE SHUNTING LOCO),40
WITMOS,SPECIAL OR NON-REVENUE EARNING WAGONS,50
WITMOS,TPT RESPONSIBLE,1
WITRAND SDG.NORTHERN COAL PTY,NULL,80
WITRAND SDG.XSTRATA SOUTH AFRI,"CONTRACT DOES NOT MAKE PROVISION FOR DEMURRAGE  ",100
WONDERFONTEIN SDG.IZIMBIWA COA,NULL,40
WORCESTER DEPT.SIDING 8767,SHUNT NOT EXECUTED TFR,4
WORCESTER DEPT.SIDING 8767,DEDICATED TRUCKS (RING FENCED),2
WORCESTER DEPT.SIDING 8767,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,2
WORCESTER DEPT.SIDING 8767,SPECIAL OR NON-REVENUE EARNING WAGONS,1
WORCESTER DEPT.SIDING 8767,STORAGE OF WAGONS,1
WORCESTER SDG.RCL FOODS SUGAR,LATE OR EARLY ARRIVAL ACCORDING TO AGREEMENT,140
WORCESTER SDG.RCL FOODS SUGAR,SHUNT NOT EXECUTED TFR,55
